0000100001000110,0001101010011000,0000001000010000,0000000100010000,0110010110000010
0000100001010010,0001101010011000,0000000100001000,0000010000100100,0110100101000010
0010000001001010,0001101010011000,0000001000010000,0000000100010000,0110111011110100
0000010001010010,1000111010110000,0000000000100001,0000001000100000,0101001011000100
0000100001010010,0000111010110000,0000000000100001,0000000100010000,0101001011000100
0100001000100001,0000110101110000,0000000010001000,0010001000000000,1010000000001010
0100001000100001,0000011101100011,0000000010001000,0010001000000000,1110010110001010
0100001000100001,0000001011100001,0000000010001000,0000011010000001,1000000101000010
0100001000100001,1000000100100000,0000000010001000,0010001000000000,1100111001010010
0100001000100001,0000011101100011,0000000010001000,0000010000100100,0001111001001010
